,GSM2356843,GSM2356844,GSM2356845,GSM2356849,GSM2356850,GSM2356851,GSM2356855,GSM2356856,GSM2356857,GSM2356846,GSM2356847,GSM2356848,GSM2356852,GSM2356853,GSM2356854,GSM2356858,GSM2356859
ARL8A,9.619825294,9.668395882,9.544591176,9.636765882,9.600427059,9.659831176,9.578917059,9.62677,9.717025294,9.867662353,9.897168235,9.721327059,9.595639412,9.730400588,9.629823529,9.693961176,9.685
ARL8B,8.289005588,8.387037647,8.412117647,8.451936765,8.258878824,8.289588235,8.325238824,8.394072353,8.032867647,8.839177059,8.922296471,8.850013529,8.727927647,8.929362353,8.630831765,8.325238824,8.414216471
ARMC1,11.86077059,11.45512353,11.64772353,11.84877059,11.54932353,11.45802353,11.4691,11.69523529,11.31312941,11.39339412,11.93671765,11.35248824,11.89981765,11.31835882,11.63352647,10.62974412,11.27966471
ARMC10,8.388971176,8.379161765,8.351876176,8.454867647,8.292414706,8.381215882,8.405284706,8.486924706,8.574822353,8.412744706,8.425184118,8.542381176,8.405105882,8.488028235,8.482665294,8.603054118,8.650144118
ARMC12,10.33988235,10.24159412,10.35545294,10.32884706,10.36759412,10.25751176,10.40595882,10.35978529,10.58918824,10.22944118,10.19254118,10.09174118,10.41885294,10.39717059,10.24318824,9.952238235,10.1301
ARMC5,7.339939706,6.991661176,6.897837059,7.191324706,7.035453529,6.901375882,6.895436471,6.924665294,6.977850588,6.586393529,6.844087647,6.744028824,7.371575882,7.094089412,6.941887647,7.368106471,7.420014706
ARMC6,8.896086765,8.894965882,8.93066,8.757522941,8.815878235,8.741671765,9.051455882,9.061927059,8.326242059,8.684236471,8.649578235,8.937746471,8.657462941,8.661959412,8.639415294,8.954852941,8.733969412
ARMC7,9.065014412,9.114008235,9.32585,9.065706471,9.074381765,9.100285,9.392709412,9.415552941,9.206181765,9.189104706,8.995630588,9.130437647,9.062487647,9.213772941,9.263271765,8.585138235,8.769942941
ARMCX1,9.223082941,9.24473,9.233627647,9.186111765,9.225093529,9.203485294,9.341160588,9.250855294,9.031870882,8.907211765,8.791891176,8.817936471,8.816250588,8.944584118,8.931382353,9.060900588,9.023366471
ARMCX2,6.962285882,6.902921176,6.915844118,6.796177059,6.764205294,6.75215,6.980767647,6.888312353,6.817874706,6.643578824,6.547424706,6.446182353,6.981490588,7.240750588,7.109112941,7.094635882,7.00935
ARMCX3,4.122445882,3.863147647,3.981298235,3.786494706,3.742037059,3.875202353,3.928120588,4.061574118,4.013091765,3.919808235,3.686617059,3.893966471,4.01944,3.801113529,3.737765882,4.238824118,3.742828824
ARMCX4,6.280038824,6.353990588,6.391238824,6.340079412,6.246800588,6.303702353,6.237973529,6.214247647,6.202980588,6.318210588,6.428351765,6.199696471,6.456279412,6.548379412,6.330037059,6.377349412,6.482283529
ARMCX5,6.579439412,6.412161765,6.607035882,6.678418235,6.673478235,6.860814118,6.778170588,6.807377059,6.952289412,6.433764118,6.370152941,6.369913529,6.324127059,6.210447647,6.214965588,6.060330588,6.358392941
ARMH4,6.503826471,6.642727059,6.474557353,6.365262353,6.425121765,6.476217059,6.53691,6.465765882,6.32768,6.390612941,6.312077059,6.330618235,6.446870588,6.597384706,6.316598824,6.735032941,6.53703
ARMT1,9.186785882,9.08571,9.054665882,9.115318824,9.224448824,9.106742941,9.274338235,9.278596765,9.139177059,9.024220588,8.992333529,9.232363529,8.713321765,8.69453,8.635051471,8.519095294,8.621195882
ARNT,9.401232941,9.303747647,9.427265294,9.374055882,9.405578235,9.272904118,9.447358824,9.435361176,9.068135294,9.27931,9.313889412,9.28535,9.344411176,9.322721176,9.387205294,9.193867647,9.204225294
ARNT2,9.546025882,9.654437059,9.563008824,9.629429412,9.629429412,9.677579412,9.504261765,9.537818824,9.781409118,10.26004706,10.28587647,10.1812,10.05925235,10.29673529,10.15938824,9.396637059,9.534650588
ARPC1A,8.785452353,8.736382941,8.874385294,8.663824706,8.733357647,8.759688824,8.854702941,8.825985294,8.717362647,8.851760588,8.729662941,8.847977647,8.897366471,8.915051765,8.819255294,8.830528824,8.824427059
ARPC1B,6.887962353,6.687072941,7.247547059,6.777058824,6.777495882,6.718544706,6.581857059,6.759437059,6.682791765,6.962285882,6.977128529,7.098858824,6.597472353,6.420260588,6.674487647,6.391670588,6.800974118
ARPC2,6.978957059,7.226753529,7.074584706,7.258178235,7.119037647,7.118097059,7.395201176,7.222552353,7.270659412,6.702895882,6.850684118,6.856781176,6.100912353,5.492335882,5.871077059,6.051562941,6.060268824
ARPC3,5.792197059,5.842830882,5.946114706,6.199932941,6.034762353,6.21479,6.217084118,6.10597,6.413495882,5.427997647,5.220363529,5.014931765,5.534481176,5.288617059,5.673724118,4.160977059,4.820858824
ARPC4,5.608335294,5.543119412,5.738828824,5.614601765,5.695558824,5.927026471,5.643641176,5.635591765,5.604035,5.620013529,5.584901176,5.743362941,5.760669412,5.688426471,6.015882941,5.462979412,5.468210588
ARPC5,5.326366471,5.473828235,5.736668824,5.923375882,5.837635882,5.891057059,5.943944706,5.540603529,5.949837647,5.579712941,5.472130588,5.053258235,5.687989412,5.356648235,5.427769412,4.896321765,4.894537647
ARPC5L,10.01171941,10.04288882,10.03334647,10.01556647,9.990072941,9.998168235,9.963002941,10.03760118,9.885035882,9.96591,9.861437059,9.917405294,9.836826471,9.899539412,9.852334118,9.688341765,9.810587647
ARPP19,7.221703529,7.531988235,7.279612941,7.434954118,7.295711765,7.602094118,7.566886471,7.567239412,7.927831765,8.392672941,8.162636471,8.153473529,8.880970588,8.858238235,8.941781176,9.24149,9.080847059
