id,GSM2356843,GSM2356844,GSM2356845,GSM2356846,GSM2356847,GSM2356848,GSM2356849,GSM2356850,GSM2356851,GSM2356852,GSM2356853,GSM2356854,GSM2356855,GSM2356856,GSM2356857,GSM2356858,GSM2356859
EZH2,7.894622353,7.904998235,8.030708235,6.956068235,7.021722941,6.708465294,7.783157059,7.809715882,7.829734118,7.215311765,7.354225882,7.306114118,7.892948824,7.859612941,8.128426471,7.655789118,7.562264706
FDFT1,9.280586471,9.24971,9.105081765,9.327917647,9.424830588,9.306255294,9.139434706,9.131466471,9.084764706,9.642660588,9.675034118,9.776375294,9.040841176,9.091024118,8.925884706,9.844954706,9.762507647
FGFR1,8.509718235,8.699707647,8.477141765,10.25482941,10.26337647,10.15938824,8.571423529,8.551455294,8.594998824,10.18612353,10.37781471,10.01556647,8.495294706,8.498186471,8.442194118,9.732938235,9.732938235
FGFR3,4.497721765,3.908758824,4.393791765,4.181298824,4.662940588,4.19661,4.615671176,4.352618824,3.963181765,5.15996,4.441872941,4.712782941,3.674041765,4.330494118,4.212862941,3.923244118,4.980916471
FLT1,11.74058235,11.75347059,11.8053,11.53839412,11.49390588,11.56821765,11.69837647,11.7648,11.69108235,11.25791765,11.24381765,11.33237059,11.86303529,11.82511176,11.43412353,11.14852647,11.2779
FYN,5.925357647,6.237713529,5.811290588,6.363705882,6.68648,6.745474118,5.713922941,5.949557353,6.037091176,6.508097059,6.508350588,6.615661765,6.115524706,6.128111176,5.865541765,6.944685882,6.797119412
GABRA2,4.714102941,4.798801176,4.548641765,4.674570588,4.547012353,4.852768529,4.742623824,4.577097647,4.795492353,4.640657059,4.741674706,4.59214,4.639042941,4.571109412,4.607291765,4.975744118,4.703901176
GABRA3,8.461895294,8.455831176,8.546331176,8.332046471,8.361774118,8.169367647,8.325238824,8.458481176,8.488028235,8.362942353,8.410021176,8.338297059,8.492351176,8.479901765,8.351421176,8.548164706,8.501513529
GABRB2,7.878157059,7.960083529,7.989333529,7.551832647,7.617031176,7.736188824,7.963073529,8.005634706,8.112065882,7.719532941,7.688364118,7.568325294,7.909883529,7.945574706,8.121965294,8.074974118,7.909175882
GABRB3,9.215996471,9.144534706,9.266187647,9.070641176,9.136462941,9.131082941,9.350211176,9.367542941,9.282673235,9.007698235,8.650464706,8.819627647,9.39117,9.421105882,9.305668824,9.011211176,9.000271176
GABRG2,5.446494118,5.438218235,5.297281176,4.917229412,5.028524706,5.093068235,5.448926471,5.332448824,5.20105,5.460727059,5.361427059,5.629514706,5.411572353,5.229911765,5.527113529,5.91922,5.811452941
GPR35,9.369172353,9.410624118,9.283998235,9.415802353,9.448593529,9.390614706,9.341798235,9.333005294,9.383217059,9.479716471,9.541718824,9.613978235,9.412902941,9.333778824,9.346158235,9.682447941,9.508308824
GPR88,4.386068235,4.454828824,4.303578824,4.591990588,4.372104706,4.387803529,4.163254118,4.278925882,4.332929412,4.292175882,4.191011765,4.158908235,4.320647647,4.285031176,4.130954118,4.286598824,4.362978235
GRIK1,5.847094118,5.781773529,5.776116471,5.700551765,5.584228235,5.405214706,5.683978824,5.814831765,5.61906,5.593495294,5.662987647,5.597744706,5.841752941,5.787491765,5.742162353,5.091407059,5.522174118
HMGCR,4.718414706,4.695310588,4.84642,4.804851765,4.726258824,4.686235882,4.566852941,4.641841176,4.596532941,4.489195882,4.825090588,5.142472941,4.537795882,4.547012353,4.532424118,4.738799412,4.66415
HTR1A,9.082774706,8.944842353,8.844872353,9.007825882,8.932607647,8.743468235,8.943044118,8.980183529,8.787549412,9.059819412,9.003711765,8.881589412,8.844872353,8.839367647,8.543114118,9.388097059,9.413452941
HTR1F,10.72430588,10.77554118,10.75278235,10.81042353,10.80827059,10.72011176,10.74700588,10.69949412,10.76230588,10.82414118,10.70408824,10.81459412,10.67186471,10.64246471,10.52545294,10.85072353,10.83207647
HTR6,8.171900588,8.216950588,8.323258235,7.944272941,7.784201176,7.816635882,8.288876471,8.170746471,8.160958824,7.887594706,7.952931176,7.973024412,8.29975,8.348074118,8.141147059,7.957645294,8.097132941
ICAM1,10.17918824,10.18902941,10.21332941,10.16903824,10.20067647,10.1198,10.18828235,10.14383235,10.27178235,10.18561765,10.25751176,10.17942941,10.19254118,10.13451176,10.31402353,10.26270588,10.25633529
IMPDH2,8.138597941,8.126556765,8.224454706,7.877541176,7.944272941,8.190521765,8.306435882,8.157928824,8.1755,7.929057647,7.804624706,7.803953824,8.293056471,8.304991176,8.22905,7.773950588,7.801506765
